,Name,Taste,Type,Function,Effect
197,莱菔子,辛、甘、平,脾、胃、肺,消食、化痰,消食、化痰
198,鸡内金,甘、平,脾、胃、膀胱,健脾、消食、涩精、,健脾、消食、涩精、
199,阿魏,苦、辛、温,脾、胃、肝,消积、杀虫,消积、杀虫
200,使君子,甘、温,脾、胃,、消积、健脾,、消积、健脾
201,苦楝皮,苦、寒；有毒,肝、脾、胃,杀虫、清热、燥湿,杀虫、清热、燥湿
202,槟榔,辛、苦、温,胃、大肠,杀虫、消积、行气、利水,杀虫、消积、行气、利水
203,南瓜子,甘、平,胃、大肠,,
204,鹤草芽,苦、涩、凉,大肠,杀虫,杀虫
205,雷丸,苦、寒,胃、大肠,杀虫,杀虫
206,鹤虱,苦、辛、平；有小毒,脾、胃,杀虫,杀虫
207,榧子,甘、平,肺、胃、大肠,杀虫、消积、润燥,杀虫、消积、润燥
208,芜荑,辛、苦、温,脾、胃,杀虫、,杀虫、
209,贯众,苦、微寒；有小毒,肝、胃,杀虫、清热、解毒、止血,杀虫、清热、解毒、止血
210,小蓟,甘、凉,心、肝,凉血、止血、散瘀,凉血、止血、散瘀
211,大蓟,甘、苦、凉,心、肝,凉血、止血、散瘀、消痈,凉血、止血、散瘀、消痈
212,地榆,苦、酸、微寒,肝、大肠,凉血、止血、解毒、敛疮,凉血、止血、解毒、敛疮
213,槐花,苦、微寒,肝、大肠,凉血、止血、清肝、,凉血、止血、清肝、
214,侧柏叶,苦、涩、寒,肺、肝、大肠,凉血、止血、祛痰、止咳,凉血、止血、祛痰、止咳
215,白茅根,甘、寒,肺、胃、膀胱,凉血、止血、清热、利尿,凉血、止血、清热、利尿
216,苎麻根,甘、寒,心、肝,凉血、止血、清热、安胎、利尿、,凉血、止血、清热、安胎、利尿、
217,羊蹄,苦、寒,心、肝、大肠,凉血、止血、清热、除湿、通便、解毒、杀虫、,凉血、止血、清热、除湿、通便、解毒、杀虫、
218,鸡冠花,甘、涩、凉,肝、大肠,、凉血、止血、止带、,、凉血、止血、止带、
219,三七,甘、微苦、温,肝、胃,化瘀、止血、活血、,化瘀、止血、活血、
220,茜草,苦、寒,心、肝,凉血、止血、祛瘀、通经,凉血、止血、祛瘀、通经
221,蒲黄,甘、平,肝、心包,凉血、止血、化瘀、通淋,凉血、止血、化瘀、通淋
222,花蕊石,酸、涩、平,肝,止血、化瘀,止血、化瘀
223,卷柏,甘、平,肝,活血、祛瘀、止血,活血、祛瘀、止血
224,花蕊石,酸、涩、平,肝,止血、化瘀,止血、化瘀
225,莲房,苦、涩、温,肝,止血、消瘀,止血、消瘀
226,白芨,苦、甘、涩、微寒,肺、肝、胃,收敛、止血、消肿、生肌,收敛、止血、消肿、生肌
