,Name,Taste,Type,Function,Effect
401,乌梅,酸、涩、平,肝、脾、肺、大肠,敛肺、涩肠、生津、,敛肺、涩肠、生津、
402,没食子,苦、涩、温,大肠、肾、肺,涩肠、固精、敛肺、止血,涩肠、固精、敛肺、止血
403,椿白皮,苦、涩、微寒,胃、大肠,清热、燥湿、涩肠、止泻、收敛、止血,清热、燥湿、涩肠、止泻、收敛、止血
404,橡实,苦、涩、微温,脾、大肠,涩肠、止血、解毒,涩肠、止血、解毒
405,硫磺,酸、温,有毒,、壮阳、解毒、杀虫、主治阳痿遗精、尿频、带下、虚寒、泻痢、大便、,、壮阳、解毒、杀虫、主治阳痿遗精、尿频、带下、虚寒、泻痢、大便、
406,雄黄,辛、温,有毒,解毒、杀虫、燥湿、祛痰、截疟,解毒、杀虫、燥湿、祛痰、截疟
407,砒石,辛、大热,有大毒,祛痰、截疟、,祛痰、截疟、
408,轻粉,辛、寒,有毒,祛痰、消积、逐水通便；外用杀虫、攻毒、敛疮,祛痰、消积、逐水通便；外用杀虫、攻毒、敛疮
409,铅丹,辛、寒,有毒,、镇惊、杀虫、消积、解毒、生肌、敛疮,、镇惊、杀虫、消积、解毒、生肌、敛疮
410,炉甘石,甘、平,肝、胃,清热明目去翳、止痒敛疮,清热明目去翳、止痒敛疮
411,硼砂,甘、咸、凉,肺、胃,清热、消痰、解毒、软坚、散结,清热、消痰、解毒、软坚、散结
412,白矾,酸、涩、寒,肺、脾、肝、大肠,解毒、杀虫、止痒、止血、止泻、清热、消痰,解毒、杀虫、止痒、止血、止泻、清热、消痰
413,绿矾,酸、涩、凉,脾、肝,燥湿、化痰、消积、杀虫、止血、解毒、敛疮,燥湿、化痰、消积、杀虫、止血、解毒、敛疮
414,毛莨,辛、温,有毒,有强烈皮肤刺激作用、多作发泡药,有强烈皮肤刺激作用、多作发泡药
415,斑蝥,辛、热,有大毒,破血、攻毒、,破血、攻毒、
416,蛇床子,辛、苦、温,有小毒,、壮阳、燥湿、止痒、杀虫,、壮阳、燥湿、止痒、杀虫
417,露蜂房,甘、平,有毒,、消肿、祛风、止痛、杀虫、止痒,、消肿、祛风、止痛、杀虫、止痒
418,木芙蓉叶,微辛、微苦、微寒,肺、肝,清热、解毒、消肿、排脓、散瘀、止痛,清热、解毒、消肿、排脓、散瘀、止痛
419,血竭,甘、咸、平,心、肝,散瘀、止血、生肌,散瘀、止血、生肌
420,木槿皮,甘、苦、温,有小毒,解毒、除湿、杀虫、止痒,解毒、除湿、杀虫、止痒
421,儿茶,苦、涩、寒,肺、脾、心,收敛、止血、敛疮、生肌、止痛、清热、化痰,收敛、止血、敛疮、生肌、止痛、清热、化痰
422,松花粉,甘、温,肝、脾,祛风、止血,祛风、止血
423,密陀僧,咸、辛、平,有毒,燥湿、杀虫、敛疮,燥湿、杀虫、敛疮
424,硇砂,咸、苦、辛、温,有毒,、消积、软坚、化痰,、消积、软坚、化痰
425,蓖麻子,甘、辛、平,有小毒,消肿、祛风、通络、通便,消肿、祛风、通络、通便
426,象皮,甘、咸、平,外用、研末敷或调敷、亦可制成膏剂敷贴,止血、敛疮,止血、敛疮
