,Name,Taste,Type,Function,Effect
376,玳瑁,"['甘', '咸', '寒']","['归心', '肝经']","['平肝定惊', '清热解毒']","['热病惊狂谵语', '惊风 抽搐', '中风 不语', '眩晕', '虚烦 不寐', '痈肿 疔疮', '痘疮等']"
377,马宝,"['甘', '咸', '微苦', '凉']","['归心', '肝经']","['镇惊化痰', '清热解毒']","['小儿惊痫抽搐', '癫狂', '高热 神昏', '心烦 失眠', '咳嗽 多痰', '恶疮 肿毒']"
378,壁虎,"['咸', '寒']",['有小毒'],"['祛风定惊', '散结解毒']","['风湿关节剧痛', '中风手足不遂', '破伤风', '惊痫', '瘰疬', '恶疮', '食道癌']"
379,蛇蜕,"['甘', '咸', '平']",['归肝经'],"['祛风止痉', '明目退翳', '杀虫', '解毒']","['惊痫', '破伤风', '喉痹 肿痛', '角膜云翳', '疥癣 瘙痒']"
380,麻黄根,"['甘', '平']","['归心', '肺经']",['固表止汗'],"['自汗', '盗汗', '各种虚汗证']"
381,浮小麦,"['甘', '凉']",['归心经'],"['养心益气', '除热止汗']","['骨蒸 劳热', '自汗', '盗汗']"
382,糯稻根,"['甘', '平']","['归肺', '胃经']","['敛汗', '退虚热', '益胃生津']","['气虚 自汗', '阴虚 盗汗', '胃弱纳少等']"
383,五味子,"['酸', '温']","['归肺', '肾', '心经']","['敛肺滋肾', '生津敛汗', '涩精止泻', '宁心安神']","['肺虚 喘咳', '口干 作渴', '自汗', '盗汗', '劳伤 羸瘦', '梦遗 滑精', '久泻 久痢']"
384,五倍子,"['酸', '涩', '寒']","['归肺', '大肠', '肾经']","['敛肺降火', '涩肠固精', '敛汗生津', '止血', '收湿敛疮']","['肺虚 久咳', '肺热 痰嗽', '久泻 久痢', '遗精 滑泄', '盗汗']"
385,罂粟壳,"['酸', '涩', '平']",['有小毒'],"['敛肺', '涩肠', '固精', '止痛']","['久咳', '久泻 久痢', '脱肛', '便血', '崩漏 带下', '遗精 滑泄', '心腹筋骨疼痛等']"
386,诃子,"['苦', '酸', '涩', '平']","['归肺', '大肠经']","['涩肠敛肺', '降火利咽']","['久泻 久痢', '便血', '脱肛', '肺虚 喘咳', '久嗽 不止', '咽痛 音哑']"
387,石榴皮,"['酸', '涩', '温']","['归大肠', '胃经']","['涩肠止泻', '杀虫', '收敛止血']","['久泻', '久痢', '虫积 腹痛', '崩漏', '便血']"
388,肉豆蔻,"['辛', '温']","['归脾', '胃', '大肠经']","['温中行气', '涩肠止泻']","['久泻 久痢', '脘腹 胀痛', '食少 呕吐', '食积 不消']"
389,赤石脂,"['甘', '酸', '涩', '温']","['归胃', '大肠经']","['涩肠', '止血', '生肌', '敛疮']","['久泻 久痢', '大便 出血', '崩漏 带下']"
390,禹余粮,"['甘', '涩', '平']","['归脾', '胃', '大肠经']","['涩肠止泻', '收敛止血', '止带']","['久泻 久痢', '便血', '崩漏', '带下']"
391,山茱萸,"['酸', '涩', '微温']","['归肝', '肾经']","['补益肝肾', '收敛固涩']","['眩晕 耳鸣', '腰膝 酸痛', '阳痿 遗精', '遗尿 尿频', '崩漏 带下', '虚汗 不止']"
392,覆盆子,"['酸', '涩', '平']","['归肾', '膀胱经']","['补肾固精', '缩尿', '明目']","['肾虚 遗尿', '尿频', '阳痿 早泄', '遗精', '滑精', '两目 昏花']"
393,金樱子,"['酸', '涩', '平']","['归肾', '膀胱', '大肠经']","['固精缩尿', '涩肠止泻']","['遗精 滑精', '遗尿 尿频', '崩漏 带下', '久泻 久痢', '脱肛', '子宫脱垂']"
394,芡实,"['甘', '涩', '平']","['归脾', '肾经']","['益肾固精', '补脾止泻', '祛湿止带']","['梦遗 滑精', '遗尿', '尿频', '脾虚 久泻', '白浊', '带下']"
395,莲须,"['甘', '涩', '平']","['归心', '肾经']",['固肾涩精'],"['梦遗 滑泄', '尿频', '遗尿', '带下']"
396,益智仁,"['辛', '温']","['归脾', '肾经']","['温脾止泻摄唾', '暖肾固精缩尿']","['脾寒 泄泻', '腹中 冷痛', '口多唾涎', '肾虚 遗尿', '小便 频数', '遗精 白浊']"
397,桑螵蛸,"['甘', '咸', '平']","['归肝', '肾经']","['补肾助阳', '固精缩尿']","['遗精 滑精', '遗尿 尿频', '小便 白浊', '白带 过多']"
398,海螵蛸,"['咸', '涩', '微温']","['归胃', '肝', '肾经']","['收敛止血', '固精止带', '制酸', '敛疮']","['吐血', '衄血', '崩漏', '便血', '遗精 滑精', '赤白 带下', '胃痛 吐酸']"
399,莲子,"['甘', '涩', '性平']","['归脾', '肾', '心经']","['补脾止泻', '止带', '益肾涩精', '养心安神']","['脾虚 泄泻', '带下', '遗精', '心悸', '失眠']"
400,碧桃干,"['苦', '酸', '平']","['归心', '肾经']","['敛汗', '涩精', '止血']","['自汗', '盗汗', '遗精', '劳嗽', '吐血', '妊娠 下血']"
401,乌梅,"['酸', '涩', '平']","['归肝', '脾', '肺', '大肠经']","['敛肺', '涩肠', '生津', '安蛔']","['肺虚 久咳', '久痢 滑肠', '虚热 消渴', '蛔厥呕吐腹痛', '便血 崩漏']"
402,没食子,"['苦', '涩', '温']","['归大肠', '肾', '肺经']","['涩肠', '固精', '敛肺', '止血']","['久泻 久痢', '梦遗 滑泄', '咳嗽 咯血', '便血', '疮疡 不敛']"
403,椿白皮,"['苦', '涩', '微寒']","['归胃', '大肠经']","['清热燥湿', '涩肠止泻', '收敛止血']","['久泻 久痢', '月经 过多', '崩漏', '带下', '肠风便血等']"
404,橡实,"['苦', '涩', '微温']","['归脾', '大肠经']","['涩肠固脱', '止血', '解毒']","['泻痢', '脱肛', '小儿 疝气', '痔血', '便血', '疮痈久溃不敛']"
405,硫磺,"['酸', '温']",['有毒'],"['补火壮阳', '解毒杀虫', '主治阳痿遗精', '尿频带下', '虚喘冷哮', '虚寒泻痢', '大便冷秘']","['外治 疥癣', '秃疮', '阴疽 恶疮']"
406,雄黄,"['辛', '温']",['有毒'],"['解毒杀虫', '燥湿祛痰', '截疟']","['痈肿 疔疮', '蛇虫咬伤', '虫积 腹痛', '惊痫', '疟疾']"
407,砒石,"['辛', '大热']",['有大毒'],"['祛痰定喘', '截疟', '蚀疮去腐']","['内服寒痰哮喘', '疟疾；外用溃疡腐肉不脱', '癣疮', '瘰疬', '牙疳', '痔疮']"
408,轻粉,"['辛', '寒']",['有毒'],"['祛痰消积', '逐水通便；外用杀虫', '攻毒', '敛疮']","['痰涎 积滞', '水肿 鼓胀', '二便不利；疥疮', '顽癣', '臁疮', '梅毒', '疮疡', '湿疹']"
409,铅丹,"['辛', '寒']",['有毒'],"['坠痰镇惊', '杀虫消积', '解毒祛腐', '生肌敛疮']","['内服治惊痫癫狂', '疟疾；外用痈疽', '溃疡', '创伤 出血', '口疮', '目赤 翳膜', '汤火 烫伤']"
410,炉甘石,"['甘', '平']","['归肝', '胃经']","['清热明目去翳', '收湿止痒敛疮']","['目赤 翳障', '烂弦风眼', '溃疡 不敛', '脓水淋漓', '湿疮 糜烂', '皮肤 瘙痒']"
411,硼砂,"['甘', '咸', '凉']","['归肺', '胃经']","['清热消痰', '解毒防腐', '软坚散结']","['内服用于肺热咳嗽', '痰多 稠黏', '噎膈 痞结', '咽喉骨哽；外用咽喉肿痛', '口舌生疮', '牙龈 溃腐', '目赤 翳障']"
412,白矾,"['酸', '涩', '寒']","['归肺', '脾', '肝', '大肠经']","['解毒杀虫', '收湿止痒', '止血止泻', '清热消痰']","['内服用于泻痢不止', '吐衄 下血', '崩漏', '阴痒 带下', '癫痫发狂；外用痈疽肿毒', '湿疹', '疥癣']"
413,绿矾,"['酸', '涩', '凉']","['归脾', '肝经']","['燥湿化痰', '消积杀虫', '止血补血', '解毒敛疮']",['黄肿 胀满']
414,毛莨,"['辛', '温']",['有毒'],"['有强烈皮肤刺激作用', '多作发泡药']","['疟疾', '哮喘', '急性 黄疸', '风湿 痹痛', '鹤膝风', '偏头痛', '胃痛', '牙痛等']"
415,斑蝥,"['辛', '热']",['有大毒'],"['破血消癥', '攻毒蚀疮']","['癥瘕 癌肿', '顽癣', '瘰疬', '赘疣', '痈疽 不溃', '恶疮 死肌']"
416,蛇床子,"['辛', '苦', '温']",['有小毒'],"['温肾壮阳', '燥湿止痒', '杀虫']","['阳痿', '宫冷 不孕', '寒湿 带下', '湿痹 腰痛']"
417,露蜂房,"['甘', '平']",['有毒'],"['功毒消肿', '祛风止痛', '杀虫止痒']","['痈疽 肿毒', '瘰疬 恶疮', '龋齿 牙痛', '风湿 痹痛', '皮肤 顽癣', '疱疹 瘙痒']"
418,木芙蓉叶,"['微辛', '微苦', '微寒']","['归肺', '肝经']","['清热解毒', '消肿排脓', '散瘀止痛']","['痈疡 肿毒', '腮腺炎', '带状 疱疹', '烧烫伤', '目赤 肿毒', '跌打损伤等']"
419,血竭,"['甘', '咸', '平']","['归心', '肝经']","['散瘀定痛', '止血生肌']","['跌打 损伤', '瘀血 肿痛', '外伤 出血', '溃疡 不敛']"
420,木槿皮,"['甘', '苦', '温']",['有小毒'],"['解毒除湿', '杀虫止痒']","['皮肤 疥癣', '带下 泻痢', '痔漏 肿痛']"
421,儿茶,"['苦', '涩', '寒']","['归肺', '脾', '心经']","['收敛止血', '收湿敛疮', '生肌止痛', '清热化痰']","['吐血', '衄血', '尿血', '血痢', '血崩', '溃疡 不敛', '湿烂诸疮', '痰热 咳嗽', '牙疳', '口疮', '跌仆 作痛', '外伤 出血']"
422,松花粉,"['甘', '温']","['归肝', '脾经']","['祛风', '收湿', '止血']","['湿疹', '黄水疮', '皮肤 糜烂', '脓水淋漓', '尿布性皮炎', '外伤出血及头风眩晕', '胃肠 溃疡']"
423,密陀僧,"['咸', '辛', '平']",['有毒'],"['燥湿', '杀虫', '敛疮']","['湿疹', '疥癣', '阴汗 阴痒', '牙疳', '口疮', '肿毒', '痔疮', '溃疡久不收口等']"
424,硇砂,"['咸', '苦', '辛', '温']",['有毒'],"['破瘀消积', '软坚化痰']","['治癥积', '噎膈 反胃', '喉痹痰饮；治痈疽', '疔毒 瘰疬', '翳障 胬肉', '息肉', '赘疣等']"
425,蓖麻子,"['甘', '辛', '平']",['有小毒'],"['消肿拔毒', '祛风通络', '泻下通便']","['痈疽 肿毒', '疔疮 瘰疬', '喉痹', '面瘫', '疥癣 癞疮', '水肿 腹满', '大便 燥结']"
426,象皮,"['甘', '咸', '平']","['外用', '研末敷或调敷', '亦可制成膏剂敷贴']","['止血', '敛疮']","['创伤 出血', '溃疡久不收口']"
