,0,1
0,解毒,81
1,清热,76
2,止痛,73
3,止血,61
4,消肿,52
5,利水,39
6,祛风,37
7,活血,37
8,杀虫,37
9,凉血,33
10,散结,28
11,行气,24
12,燥湿,23
13,安神,21
14,散寒,20
15,通络,20
16,化痰,19
17,明目,19
18,除湿,18
19,散瘀,17
20,健脾,17
21,通便,16
22,理气,16
23,温中,15
24,收敛,15
25,通淋,14
26,消积,14
27,止泻,14
28,通经,13
29,敛疮,13
30,生津,13
31,补肾,13
32,平肝,13
33,利尿,12
34,涩肠,12
35,定惊,11
36,生肌,11
37,祛痰,11
38,益气,11
39,固精,11
40,止痒,10
41,养血,10
42,止痉,9
43,消食,9
44,壮阳,9
45,安胎,8
46,和中,8
47,清肺,8
48,利湿,8
49,化湿,8
50,清肝,8
51,化瘀,8
52,破血,8
53,润肠,8
54,利咽,7
55,开窍,7
56,排脓,7
57,解郁,7
58,滋阴,7
59,潜阳,7
60,透疹,6
61,软坚,6
62,祛瘀,6
63,清心,6
64,消痰,6
65,截疟,6
66,镇惊,6
67,润肺,6
68,益胃,6
69,益精,6
70,除烦,5
71,息风,5
72,下乳,5
73,消瘀,5
74,退黄,5
75,润燥,5
76,逐水,5
77,搜风,5
78,辟秽,5
79,止呕,5
80,降逆,5
81,疏肝,5
82,和胃,5
83,调经,5
84,温肾,5
85,纳气,5
86,止咳,5
87,止带,5
88,补血,5
89,养心,5
90,养阴,5
91,敛肺,5
92,解表,4
93,豁痰,4
94,降火,4
95,逐瘀,4
96,宁心,4
97,渗湿,4
98,温经,4
99,下气,4
100,暖肾,4
101,助阳,4
102,定痛,4
103,消癥,4
104,攻毒,4
105,固涩,4
106,止汗,4
107,敛汗,4
108,涩精,4
109,收湿,4
110,凉肝,3
111,止痢,3
112,蚀疮,3
113,泻下,3
114,行水,3
115,舒筋,3
116,健胃,3
117,通乳,3
118,泻火,3
119,宽中,3
120,降气,3
121,消痈,3
122,破瘀,3
123,平喘,3
124,补脾,3
125,除热,3
126,定喘,3
127,益肾,3
128,醒神,3
129,熄风,3
130,缩尿,3
131,胜湿,2
132,解痉,2
133,通窍,2
134,散风,2
135,发表,2
136,祛暑,2
137,消暑,2
138,滑肠,2
139,破积,2
140,解暑,2
141,开胃,2
142,化滞,2
143,祛湿,2
144,利胆,2
145,调中,2
146,止呃,2
147,和血,2
148,驱虫,2
149,温肺,2
150,镇心,2
151,补中,2
152,益肺,2
153,壮骨,2
154,养肝,2
155,宣肺,1
156,发汗,1
157,蚀疣,1
158,去瘀,1
159,疔疮,1
160,清火,1
161,疗疳,1
162,镇痛,1
163,泄热,1
164,参湿,1
165,通脉,1
166,温里,1
167,消滞,1
168,破气,1
169,除痞,1
170,行滞,1
171,通阳,1
172,导滞,1
173,醒脾,1
174,除满,1
175,除胀,1
176,消疳,1
177,解素,1
178,疗癣,1
179,收涩,1
180,摄血,1
181,活络,1
182,行瘀,1
183,行血,1
184,化积,1
185,聪耳,1
186,暖宫,1
187,镇静,1
188,利窍,1
189,托毒,1
190,缓急,1
191,柔肝,1
192,补心,1
193,续筋,1
194,续骨,1
195,续伤,1
196,滋肺,1
197,补气,1
198,补髓,1
199,调气,1
200,催产,1
201,益智,1
202,利气,1
203,启闭,1
204,重镇,1
205,强心,1
206,退翳,1
207,固表,1
208,固肾,1
209,制酸,1
210,安蛔,1
211,固脱,1
212,补火,1
213,去腐,1
214,坠痰,1
215,祛腐,1
216,防腐,1
217,功毒,1
218,拔毒,1
